sample_accession,retained_count_sum,size_factor
GSM5593747,32561193,0.8969431817613506
GSM5593748,42159768,1.245934815242769
GSM5593749,45580797,1.2416365094464208
GSM5593750,42857654,1.3348559315310726
GSM5593751,33066275,0.997902154426586
GSM5593752,36501132,1.1735209944126652
GSM5593753,33504530,1.152026989817869
GSM5593754,38744189,1.3919371480213956
GSM5593755,46530964,1.0905562366972377
GSM5593756,43559229,1.1685569269598453
GSM5593757,36301775,0.9252375601900369
GSM5593758,41613126,1.3337607843436474
GSM5593759,34881995,1.2726438726149674
GSM5593760,44963263,1.5705710765600494
GSM5593761,33818215,0.27684021406911785
GSM5593762,38235533,1.2776401593413074
GSM5593763,49122031,1.312717934655885
GSM5593764,34659248,0.9970395544797801
GSM5593765,37882878,1.1815069936331197
GSM5593766,49030188,1.365235371710955
GSM5593767,32111131,0.9479945315801849
GSM5593768,32817782,0.8041909864648545
GSM5593769,26078009,0.6041161030075245
GSM5593770,25843968,0.672913799832179
GSM5593771,41984629,1.0348611689707434
GSM5593772,34246382,1.043566048966425
GSM5593773,25071397,0.8004374593304041
GSM5593774,34004127,1.1364257288905122
GSM5593775,34014337,0.8135833241654804
GSM5593776,29065700,0.6153732697752795
